id;name;address;zipcode;latitude;longitude;telephone;openingHours;delivery;city;linktype;link
11;Pandora Greenbox;Obrov ulica 4;21000;43.50930416;16.4376495;021236120;Mon-Sun 08:30-12:00;f;Split;website;pandoragreenbox.com
11;Pandora Greenbox;Obrov ulica 4;21000;43.50930416;16.4376495;021236120;Mon-Sun 08:30-12:00;f;Split;facebook;facebook.com/PandoraGreenbox
11;Pandora Greenbox;Obrov ulica 4;21000;43.50930416;16.4376495;021236120;Mon-Sun 08:30-12:00;f;Split;instagram;instagram.com/pandora_greenbox
12;Upcafe;Ulica Domovinskog rata 29a;21000;43.51692872;16.44540914;0916210500;Mon-Sat 07:00-20:00,Sun 08:00-20:00;t;Split;website;upcafe.hr
12;Upcafe;Ulica Domovinskog rata 29a;21000;43.51692872;16.44540914;0916210500;Mon-Sat 07:00-20:00,Sun 08:00-20:00;t;Split;facebook;facebook.com/upcafe12
12;Upcafe;Ulica Domovinskog rata 29a;21000;43.51692872;16.44540914;0916210500;Mon-Sat 07:00-20:00,Sun 08:00-20:00;t;Split;instagram;instagram.com/upcafe.split
12;Upcafe;Ulica Domovinskog rata 29a;21000;43.51692872;16.44540914;0916210500;Mon-Sat 07:00-20:00,Sun 08:00-20:00;t;Split;tripadvisor;tripadvisor.com/Restaurant_Review-g295370-d5773474-Reviews-UPcafe-Split_Split_Dalmatia_County_Dalmatia.html
13;The Botanist;Ulica Mihovila Pavlinovića 4;23000;44.1164374;15.22593932;0924232296;Mon-Sun 12:00-23:00;f;Zadar;instagram;instagram.com/botanist_zadar
14;Nishta;Prijeko ulica bb;20000;42.67534972;18.10592518;020322088;Mon-Sat 11:30-22:00;f;Dubrovnik;website;nishtarestaurant.com
14;Nishta;Prijeko ulica bb;20000;42.67534972;18.10592518;020322088;Mon-Sat 11:30-22:00;f;Dubrovnik;facebook;facebook.com/nishtarestaurant
14;Nishta;Prijeko ulica bb;20000;42.67534972;18.10592518;020322088;Mon-Sat 11:30-22:00;f;Dubrovnik;instagram;instagram.com/explore/locations/798999121
14;Nishta;Prijeko ulica bb;20000;42.67534972;18.10592518;020322088;Mon-Sat 11:30-22:00;f;Dubrovnik;x;twitter.com/hashtag/nishta
15;BioMania Bistro Bol;Rudina 10;21420;43.26175996;16.65493408;0919362276;Mon-Thu 13:00-21:00,Sat 13:00-21:00,Sun 10:00-22:00;f;Bol;website;biomania.hr
15;BioMania Bistro Bol;Rudina 10;21420;43.26175996;16.65493408;0919362276;Mon-Thu 13:00-21:00,Sat 13:00-21:00,Sun 10:00-22:00;f;Bol;facebook;facebook.com/biomaniahr
15;BioMania Bistro Bol;Rudina 10;21420;43.26175996;16.65493408;0919362276;Mon-Thu 13:00-21:00,Sat 13:00-21:00,Sun 10:00-22:00;f;Bol;instagram;instagram.com/biomaniahr
15;BioMania Bistro Bol;Rudina 10;21420;43.26175996;16.65493408;0919362276;Mon-Thu 13:00-21:00,Sat 13:00-21:00,Sun 10:00-22:00;f;Bol;tripadvisor;tripadvisor.com/Restaurant_Review-g303802-d14997286-Reviews-BioMania_Street_Food-Bol_Brac_Island_Split_Dalmatia_County_Dalmatia.html
